,Cat Number,Site Number,Locality,Site,Name,Situation
2021,I Cat. No. 386,M50/2,"Nudity East and of Squibnocke
Martha's Vineyard, Mas",Site Homblower Shell Heap .,Name Triangular quartz arro,"Situation Sec. 407, above plow line."
2022,I Cat. No. 287,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mas",Site Hornblower Shell Heap.,,"Situation Sec. 407, above plow line."
2023,| Cat. No. 288,M50/2,"L°°ality East end of Squibnockt
Martha's Vineyard, Ma:",Site Homblower Shell Heap .,Name 3 shale arrowpoints.,"Situation Sec. 407, in brown sand."
2024,| Cat. No. 389,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Ma:",Site Homblower Shell Heap-,Name Fragment of quartz dri,"Situation Sec. 407, below shell."
2025,Cat. No. 390,M50/2,"[?nality East end of Squibnocke
Martha's Vineyard, Mae",Site Homblower Shell Heap .,"Name 2 quartz points

‘I 1._-1_-__ __ ___.L_ .I ..... ? _.__","Situation Sec 40?, below shell."
2026,I Cat. No. 291,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mae",Site Homblower Shell Heap .,Name 3 shale arrowpoints.,"Situation Sec. 407, below shell."
2027,| Cat. No. 392,M50/2,"MW East end of Squibnockt
Martha's Vineyard, Ma:",Site Hornblower Shell Heap .,Name 2 basalt arrowpoints.,"Situation Sec. 40?, below shell."
2028,Cat. No. 293,M50/2,"Locality East end of so
Martha' 8 Viney",Site H01'an ower She,Name Small chopper .,"Situation Sec. 407, below shell."
2029,| Cat. No. 294,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mat",Site Hornblower Shell Heap .,Name 4 pieces of re?ct qua,"Situation Sec. 408, below shell."
2030,| Cat. No. 295,M50/2,"MW East end of Squibnocke
Martha's Vineyard, Ma:",Site Homblower Shell Heap.,Name 2 rejects.,"Situation Sec. 408, below shell."
2031,Cat. No. 396,M50/2,"L°°a1ity East end of Squibnocke
Martha's Vineyard, Mas",Site Hornblower Shell Heap.,Name Notched sinker.,"Situation Sec. 408, in shell."
2032,I Cat. No. 297,M50/2,"Locality East end of SquibnOCkE
Martha' 3 Vineyard, Mat",Site Homblower Shell Heap .,Name 5 quartz arromoints.,"Situation sec. 408, in shell."
2033,Cat. No. 393,M50/2,"Wit}? East end of Sc
Martha' 5 Viney",Site Homblower She,Name 2 arrowpoints.,"Situation Sec. 408, in shell."
2034,I Cat. No. 299‘,M50/2,"Locality East end of Squibnock
Martha's Vineyard, Ma",Site Homblower Shell Heap.,Name 4 fragments of arrowpo,"Situation Sec. 408, in shell."
2035,"——-
Cat. No. 30c",M50/2,"Locality East end of Squibnoc]
Martha's Vineyard, M:",Site Hornblower Shell Hear,It Name 1 chipped_arrgwpoin‘_c,"Situation Sec. 408, in shell."
2036,| Cat. No. 30],M50/2,"Locality East end of Squibnoclu
Martha's Vineyard, Mal",Site Hornblower Shell Heap.,Name Crude chipped stone kn,"Situation Sec. 408, below shell."
2037,Cat. No. 302,M50/2,"Locality East end of Squi'onockt
Martha's Vineyard, Ma:",Site Horn‘blower Shell Heap.,Name 1 shale arrowpoint.,"Situation Sec. 408, below shell."
2038,| Cat. No. 30:,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Ma:",Site Hornblower Shell Heap .,Name 5 fragments of arrowpo,"Situation Sec. 408, below shell."
2039,Cat. No. 504,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mat",Site Homblower Shell Heap .,Name 1 small quartz scraper,"Situation Sec. 408, below Shell."
2040,Cat. No. 305,M50/2,"Locality East and of Squibnock:
Martha's Vineyard, Ma1",Site Homblower Shell Heap .,Name Hamel-stone .,"Situation Sec. 408, below shell."
2041,| Cat. No. 301,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mai",Site Homblower Shell Heap .,Name 30 e .,"Situation Sec. 408, below Shell."
2042,Cat. No. 307,M50/2,"Locality East end of Sq
Martha's Viney",Site Homblower She,Name 5 fragments of,"Situation Sec. 305, in shell."
2043,| Cat. No. 305,M50/2,"Locality East end of Squibnock1
Martha's Vineyard, Ma:",Site Homblower Shell Heap .,Name 4 chipped arrowpoints.,"Situation Sec. 305, in shell."
2044,| Cat. No. 30¢,M50/2,"‘ Ina?ky East end of S quibnocke

1 Martha' 8 Vineyard, Mae
\",Site Homblower Shell Heap .,Name Quartz hammerstone .,"Situation Sec. 305, in shell."
2045,I Cat. No. 31‘,M50/2,"Mt? East end of 8 quibnocke
Martha' 8 Vineyard, Mat",Site Homblower Shell Heap .,Name Quartz arrOWpoint,Situation Pit 306-3.
2046,I Cat. No. 31:,M50/2,"Locality East end of Squibnockq
Martha's Vineyard, Ma:","Site

Homblower Shell Heap .",Name 3 arrowpomtg,". Situation Sec. 306, below shell."
2047,I Cat. No. 31,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Max",Site Homblower Shell Heap.,Name Large scraper .,"Situation Sec. 306, below shell."
2048,l Cat.No. 311,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mat",Site Hornblower Sh ell Heap.,Name 3 quartz rej ecte.,"Situation Sec. 306, below shell."
2049,| Cat. No. 314,M50/2,"Locality East end of Squibnoclu
Martha's Vineyard, Ma:",Site Homblower Shell Heap .,Name 1 chipped drill U),"Situation Sec. 307, in shell."
2050,I Cat. No. 31!,M50/2,"Locality East end of Squibnocke
Martha' 8 Vineyard, Mae",Site Homblower Shell Heap .,"Name 1 quartz arIOWpoint
I a“ - - '","Situation Sec. 307, in shell."
2051,I Cat. No. 311,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mae",Site Homblower Shell Heap .,Name 1 quartz scraper.,"Situation Sec. 307, in shell."
2052,Cat. No. 317,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mas",".L‘CLEUJC“. DU UL

Site Homolower Shell Heap .","Name 1 quartzite arrowpoint

'2 m1a§0+n",Situation Pit complex 307—A.
2053,Cat. No. 318,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mas",Site Homblower Shell Heap.,"Name 1 quartz arrowpoint

n1nn1 A","Situation Sec. 30?, below shell."
2054,| Cat. No. 315,M50/2,"‘ Locality East end of Squibnocke
‘ Martha's Vineyard, Mas",Site Homblower Shell Heap.,Name Hoe .,"Situation P11; 30 7-F,"
2055,Cat. No. 320,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Ma:",Site Homblower Shell Heap .,"Name 7 quartz arrowpoints

9 k‘A1’n“ mqnm+n nan-mam","Situation P11: 307-1? ,"
2056,I Cat. No. 32,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mae",Site Homblower Shell Heap.,"m

_A ---.L","Situation Pit 307-1? ,"
2057,I Cat.No. 32,M50/2,"Locality East end of S quibnocke
Martha' 8 Vineyard, Mas",Site Homblower Shell Heap.,Name 4 fragments of quartz,Situation P i t 307—F .
2058,I Cat.No. 321,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mas",Site Homblower Shell Heap.,"Name 2 arrowpoints

'1 1..__1___. _“__",Situation Pit 307-17.
2059,I Cat.No. 32,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mas",Site H0171b]. ower Shell Heap .,m,Situation Pit 3-07—F.
2060,I Cat.No. 32!,M50/2,"Locality East end of Squibnocke
Martha' 8 Vineyard, Mas",Site Hornblower Shell Heap .,Name Fragments of. two quart,"Situation Sec. 307, below shell."
2061,l Cat.No. 33¢,M50/2,"‘ Locality East end of Squibnoclu
‘ Martha's Vineyard, Ma:",Site Hornblower Shell Heap,Name Large broken shale ape,"Situation Pit 307-H ,"
2062,| Cat. No. 321,M50/2,"Locality East end of Squibnock
Martha's Vineyard, Ma",Site Hornblower Shell Heap.,Name Hamerstone.,"Situation Sec. 30?, below shell."
2063,Cat. No. 338,M50/2,"Locality East end of 5:;
Martha's Viney",Site Homblower She‘,"Name 1 quartz arrow

'I L“‘-A.‘ -.--_L",Situation P it 3 O7-H .
2064,I Cat.No. 32‘.,M50/2,"Locality East end of Squibnocl-u
Martha's Vineyard, Ma:","braken quartz arrowpoi
Site Kornblower Shell Heap.","Name 1 felsite aryowpoint,","Situation Sec. 308, below shell."
2065,Cat. No. 330,M50/2,"Locality East end of St;
Martha's Viney",Site Ho rnbl ower She,Name Chipped quartz,"Situation Sec. 308, below shell."
2066,| Cat. No. 35:,M50/2,"Locality East end of Squibnockt
Martha's Vineyard, Mal",Site Hornblower Shell Heap .,Name Broken quartz arrowpozl,"Situation P it SOB-A ,"
2067,| Cat. No. 33:,M50/2,"Locality East end of Squibnockl
Martha's Vineyard, Ma:",Site Homblower Shell Heap .,"Name 2 quartz arrowpoints

__ _‘;_","Situation Sec. 307, below shell."
2068,I Cat. No. 33:,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mas",Site Hornblower Shell Heap .,Name 3 quartz arrow'points.,Situation P11; sol-A .
2069,| Cat. No. 334,M50/2,"Locality East end of Squibnock‘
Martha's Vineyard, Ma:",Site Hornblower Shell Heap .,Name 2 fragments of quartz,"Situation Pit 501—A ,"
2070,| Cat. No. 33!,M50/2,"Locality East end of Squibnock‘
Martha's Vineyard, Ma",Site Hornblower Shell Heap .,Name 1 quartz knife.,Situation Pit 50l-A .
2071,Cat. No. 336,M50/2,"Locality East end of Sq
Martha's Viney",Site Homblower She',Name 1 arrowpoint .,Situation P i t 5 O l-A .
2072,| Cat. No. 331,M50/2,"Locality East end of Squibnoclm
Martha's Vineyard, Ma:",Site Hornblower Shell Heap .,Name Fragment of drill.,Situation P i t 501-A _
2073,l Cat.No. 33f,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mat",Site Homblower Shell Heap .,Name 2 arrOWpoints.,"Situation Sec. an, above plow line."
2074,"Cat. No.

339",M50/2,"Locality East end of Sc
Martha's Viney",Site Homblower She,Name :5 crude quartz,"Situation Sec. 607, above plow line."
2075,Cat. No. 340,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mae",Site Homblower Shell Heap.,Name 3 quartz arrowpoints.,"Situation Sec. 607, in shell."
2076,l Cat.No. 34.],M50/2,"Locality East end of Squibnoclu
Martha's Vineyard, Ma:",Site Hornblower Shell Heap.,Name 3 rejects (quartz),"Situation Sec. 507, in shell."
2077,Cat. No. 342,M50/2,"Locality East end of Sq
Martha‘s Viney",Site Homblower She‘,Name Large quartz k,"Situation Sec. 638, at bottom of shell."
2078,l Cat.No. 34:,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mai",Site Homblower Shell Heap .,Name 4 quartz arrowpoints.,"Situation Sec. 608, at bottom of shell."
2079,| Cat. No. 344,M50/2,"Locality East end of Squibnock‘
Martha's Vineyard, Ma:",Site Hornblower Shell Heap-,Name Small arrowpoint .,"Situation Sec. 308, at bottom of shell."
2080,Cat. No. 345,M50/2,"Locality East end of Sc
Martha's Viney",Site Hornbl ower She,Name Chipped slate ‘,"Situation Sec. 608, at bottom of shell."
2081,| Cat. No. 346,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mas",Site Homblower Shell Heap.,Name Shale arrovmoint .,"638, at bottom of shell."
2082,| Cat. No. 34',M50/2,"Wt? East end of S quibnocke
Martha' 3 Vineyard, Ma:",Site Homblow er Shell Heap .,Name 4 fragments of quartz,"Situation Sec. 608, at bottom of shell."
2083,"l Cat.No. 34,;",M50/2,"Locality East end of Squibnocka
Martha's Vineyard, Ma:",Site Hornblower Shell Heap.,Name Point of quartz arrow;,Situation Sec. 608.
2084,Cat. No. 349,M50/2,"Locality East end of Squibnockt
Martha's Vineyard, Mat",Site Horn‘olower Shell Heap.,Name 2 fragments of graphit,"Situation Tr, 1’ Sec. 11, in shell."
2085,| Cat. No. 55(,M50/2,"nullity East end of S quibnocke
Martha' 8 Vineyard, Ma:",Site Homblower Shell Heap.,Nil.me 1 piece of graphite.,"Situation Sec. 10, in shell."
2086,Cat. No. 351,M50/2,"WW East end of Squi
Martha' 3 Vineyar‘",Site Homblower Shell,"_ ‘ ,. , _ -
NW Piece of worked i","Situation Sec. 13, above and in shell."
2087,I Cat.No. 35,M50/2,"JIM

East end of Squibnocke
Martha's Vineyard, Mas",Site Homblower Shell Heap .,Name Piéce of graphite.,Situation FouIId in peeling Tr. 2.
2088,I CahNo. 35,M50/2,"Locality East end of Squibnockc
Martha's Vineyard, Mal",Site Homblower Shell Heap .,,"Situation Sec. 11, in shell."
2089,Cat. No. 354,M50/2,"140061“? East end of Sq
Martha' 8 Viney",Site Homblower She,Name Small piece of,"Situation Sec. 19, in shell."
2090,Cat. No. 355,M50/2,"WW East end of Sq
Martha's Viney",Site Homblower She',Name Piece of graph,"Situation Sec. 207, above plow line."
2091,I Cat. No. 35,M50/2,"WW East end of Squibnocke
Martha's Vineyard, Mas",Site Homblower Shell Heap.,Name 1 lapge and 2 small p1,"Situation Sec. 208, in quahog shell."
2092,Cat. No. 357,M50/2,"Locality East end of Sq
Martha's Viney",Site Hornblower She‘,"_‘ .m,
Name Graphite.","Situatim Sec. 18, above shell and outside heap."
2093,l Cat.No. 351,M50/2,"MW East end of Squibnock
Martha's Vineyard, Ma",Site Homblower Shell Heap.,Name 1 small piece of grapl,"Situation Sec. 23, at plow line."
2094,"Cat. No.

359",M50/2,"WW East end of Squibnock:
Martha's Vineyard, Mal",Site Homblower Shell Heap -,"-- ""|_l-""'

Nlme 2 fragments o=f graphit","Situation Sec. 205, in shell."
2095,Cat. No. 360,M50/2,"Locality East end of Squibnock
Martha's Vineyard, Ma",Site Homblower Shell Heap .,Name 1 piece of graphite.,"Situation Pit 208 E, north section."
2096,I Cat.No. 36,M50/2,"Locality East end of Squibnock
Martha's Vineyard, Ma",Site Homblower Shell Heap‘,Name Graphit e .,"Situation P11; 307 F,"
2097,| Cat. No. 36:,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mae",Site. Hornblower Shell Heap.,Name ?igce of graphite.,Situation Sec. 11.
2098,Cat. No. 363,M50/2,"Locality East end of Squibnock
Martha's Vineyard, Ma",Site Homblower Shell Heap,Name 1 piece of graphite.,Situation Pit 307 I.
2099,l Cat.No. 36.,M50/2,"Locality East end of Squibnockt
Martha's Vineyard, Ma",Site Homblower Shell Heap.,"Name 1 piece or 11333313.,“","Situation Sec. 19, in shell."
2100,"l—'
Cat. No. 36!",M50/2,"Locality East end of Squibnock1
Martha's Vineyard, Ma:",Site Homblower Shell Heap .,‘ Name ni’iece of hemééite.,"Situation Sec. 14, above plow line."
2101,l CatNo. 36‘,M50/2,"Lmlity East and of Squibnocke
Martha's Vineyard, Mae",Site Hornblower Shell Heap .,Name Soapstone fragment .,"Situation Sec. 18, in black humus just below plow line"
2102,"Cat.""

36",M50/2,"Locality East end of Squibnockt
Martha's Vineyard, Mai",Site Homblower Shell Heap .,Name Broken plummet .,"Situation Sec. 18, below shell."
2103,I Cat. No. 36:,M50/2,"Locality East end of Squibnock'
Martha's Vineyard, Ma:",Site Homblower Shell Heap.,Name Quartz scraper.,Situation Found in peeling TI. 2.
2104,| Cat. No. 36S,M50/2,"Locality East end of Squibnocla
Martha's Vineyard, Ma:",Site Hornblower Shell Heap.,Name 1 quartzite turtlebacl,Situation In shell .
2105,Cat. No. 370,M50/2,"Locality East end of SQ
Martha's Viney",". 3 quartz re ec
5‘“ Homblower hei","Name _ 4 arrowpoi_.nts,_",Situatim From sand.
2106,_ Cat. No. 37],M50/2,"Loanky East end of Sc

Martha's Viney",Site Homblower She,Na” 1 porphyry cor,Situation Unknown .
2107,I Cat. No. 371,M50/2,"Locality East end of Squibnocln
Martha's Vineyard, Ma:",Site Hornblower Shell Heap .,Name grick.,"Situation Sec. 608, in a posthole."
2108,l Cat.No. 37:,M50/2,"Locality East end of Squibnockq
Martha's Vineyard, Ma:",Site Hornblower Shell Heap.,Name 5 ?iecea of brick.,"Situation Sec. 208, above plow line."
2109,I Cat. No. 37‘,M50/2,"Locality East end of Squibnockc
‘ Martha' 8 Vineyard, Ma:",Site Homblower Shell Heap.,"_“—I—l—
Name Piece of colonial pot1","Situation Sec. 10, above plow line."
2110,"Cat. No.

375",M50/2,"Locality East end of Squibnocke
Martha' 5 Vineyard, Mas",Site Homblower Shell Heap .,Name 1 piece of flower pot.,"Situation Sec. 206, above plow line."
2111,Cat. No. 376,M50/2,"Locality East end of Squibr
Martha's Vineyard,",Site Homblower Shell H,Nam? Piece of glazed co,"Situation Sec. 13, above and in shell."
2112,l Cat.No. 577,M50/2,"Locality East end of Squibnock‘
Martha's Vineyard, Ma",Site Homblower Shell Heap .,"- T-1""

Name 1 piece of colonial g]","Situation Trench l, peel."
2113,"Fa

Cat. No. 37",M50/2,"Locality East end of Sc
Martha' 5 Viney",Site Hornblower She,Name Eieée of T. D.,"SituatiOn Sec. 12, above plow line."
2114,"'—

Cat. No. 379",M50/2,"Locality East end of Se
Martha' 3 Viney",Site Homblower She',Name “lg—1.3:» of T. D.,"Situation TI, 1, Sec. 1-4."
2115,Cat. No. 380,M50/2,"Locality East end of Squibn‘
Martha's Vineyard,",Site Homblower Shell He,"...-.—.--_— — _-._

Name Fragment of stem 01","Situation Sec. 10, on plow line."
2116,I Cat. No. 381,M50/2,"Locality East end of Squibnoclm
Martha's Vineyard, Ma:",Site Homblower Shell Heap .,Name Pieces of T. D. pipe.,"Situation Sec. 208, above plow line."
2117,Cat. No. 382,M50/2,"Locah Sc
' E 1; end of .
ty les‘tha's Viney",Site Homblower She,Name Piéce of 1‘. D.,"Situation Sec. 14, above plow line."
2118,I Cat.No. 383,M50/2,"Locality East end of Squibnock
Martha' 5 Vineyard, Ma",Site Homblower Shell Heap.,Name ‘4 pieces of '1‘. D. pipe,"Situation Sec. 607, above plow line."
2119,I Cat. No. 334,M50/2,"Locality East end of Squibnock‘
Martha's Vineyard, Ma",Site Homblower Shell Heap.,Name 1 hand wrought iron m,Situation Bottom of Pit 7 B.
2120,Cat. No. 385,M50/2,"L091“? East end of Squibnocke
Martha's Vineyard, Ma;",Site Homblower Shell Heap.,Name 11:1;161' tine tool.,"Situation Sec. 9, in shell."
2121,I Cat.No. 386,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mas",Site Homblower Shell Heap .,Name Bohe awl .,"Situation Sec, 9, in shell."
2122,Cat. No. 387,M50/2,"Locality East end of Sq
Martha' 9 Viney",Site Homblower She,Name Ri?e: tine so,Situation Se 0 . 9
2123,Cat. No. 388,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Ma:",Site Homblower Shell Heap .,Name Bone awl .-,"Situation Sec. 10, at very bottom of plow line."
2124,Cat. No. 389,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mae",Site Hornblower Shell Heap .,Name Part of broken awl.,"Situatim Tr. 1, Sec. 10, in shell below plow line."
2125,| Cat. No. 390,M50/2,"Locality East and of Squibnock‘
Martha's Vineyard, Ma;",Site Homblower Shell Heap .,Name P8111: of broken awl.,"Situation TI. 1, Sec. 10, in shell below plow line."
2126,I Cat. No. 391,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mae",Site Hornblower Shell Heap .,"Name

Bone awl .",Siamtion P11: 10 c.
2127,I Cat.No. 393,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mae",Site Homblower Shell Heap .,"Name

Bone awl .","Situation P11: 10 C,"
2128,Cat. No. 393,M50/2,"Locality East end of Sc
Martha's Viney",Site Hornblower She,Name Tip of antler,"Situation Tr. 1, Sec. 11, in shell."
2129,Cat. No. 394,M50/2,"Locality East end of Squibnogke
Martha's Vineyard, as",Site Hombl ower Shell Heap .,Name 1 point of bone awl.,"Situation Tr. 1, Sec. 11, in Shell."
2130,l Cat.No. 395,M50/2,"Locality East end of Squibnock
Martha's Vineyard, Ma",Site Hornblower Shell Heap.,Name 3 pieces of antler ti:,"Situation Sec. 11, in shells."
2131,I Cat. No. 396,M50/2,"MW East end of Squibnocke
Martha's Vineyard, Mae",Site Homblower Shell Heap.,W,"Situation Sec. 11, in shell."
2132,Cat. No. 597,M50/2,"Wit? East end 0f Sq
Martha's Viney",Site Hornblower Shei,Name 'Broken bone aw?,Situation Pit 11 A.
2133,Cat. No. 393,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mas",Site Homblower Shell Heap.,Name 158.121: of bone awl.,Situation Sec. 11.
2134,Cat. No. 399,M50/2,"Locality East end of Squibnockt
Martha's Vineyard, Ma:",Site Homblower Shell Heap .,Name Piece of a polished bo,Situation Sec . ll .
2135,I Cat. No. 400,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mat",Site Homblower Shell Heap.,Nlme Bone awl .,"Situation Sec. 12, in shells."
2136,Cat. No. 401,M50/2,"Locality East end of Squibnocke
Martha's Vineyard, Mas",Site Homblower Shell Heap .,Name Broken awl .,"Situation Sec. 12, in 001105; and black humus just above"
